DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,Magnitude,Magnitude Scale,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1998-0373-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,07B,BGD,Bangladesh,Southern Asia,Asia,"Sathkhira, Khulna district",,,No,No,No,140.0,Kph,,1998,11.0,25.0,1998,11.0,25.0,200.0,,121000.0,,121000.0,,,53.4976807934852,,2003-07-01,2023-09-25
1998-0438-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,N.A. on the source,,,No,No,No,,Kph,,1998,3.0,23.0,1998,3.0,23.0,28.0,100.0,,,100.0,,,53.4976807934852,,2003-07-01,2023-09-25
1998-0447-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Barisal,,,No,No,No,,Kph,,1998,7.0,3.0,1998,7.0,3.0,60.0,,,,,,,53.4976807934852,,2003-07-01,2023-09-25
1999-0105-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Parbatipur,,Flood,No,No,No,,Kph,,1999,4.0,7.0,1999,4.0,8.0,7.0,200.0,,,200.0,,,54.6682208422885,,2006-07-05,2023-09-25
1999-0115-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Panchagarh district, Level 1 = Rajshahi Div",,,No,No,No,,Kph,,1999,3.0,26.0,1999,3.0,26.0,2.0,60.0,,100000.0,100060.0,,,54.6682208422885,,2003-07-01,2023-09-25
1999-0189-BGD,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,BGD,Bangladesh,Southern Asia,Asia,Kurigram (Rangpur),,,No,No,No,120.0,Kph,,1999,4.0,30.0,1999,4.0,30.0,3.0,150.0,1000.0,,1150.0,,,54.6682208422885,,2006-07-06,2023-09-25
1999-0225-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Comilla, Lalmonirhat, Habiganj Jamalpur, Munshiganj, Manikganj, Kustia, Rajshahi, Bogra, Kurigram, Gaibandha, Nilphamari, Lalmonirhat, Sunamganj and Chittagong",Monsoonal rain,,No,No,No,60.0,Km2,Gomti River,1999,7.0,11.0,1999,8.0,3.0,31.0,20.0,421250.0,20000.0,441270.0,,,54.6682208422885,,2006-09-17,2023-09-25
1999-0228-BGD,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,BGD,Bangladesh,Southern Asia,Asia,Maheshkhali Isl. Level 1 = Chittagong Div,,,No,No,No,5.2,Moment Magnitude,,1999,7.0,22.0,1999,7.0,22.0,6.0,200.0,,15000.0,15200.0,,,54.6682208422885,,2003-09-11,2023-09-25
1999-0277-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong port city, Aziznagar, Chittagong Hill Tracts, Island of Maheshkhali (Cox's Bazar, Chittagong and Bandarban districts)",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,Km2,Matamuhuri river,1999,8.0,11.0,1999,8.0,15.0,17.0,50.0,50000.0,,50050.0,,,54.6682208422885,,2006-07-05,2023-09-25
1999-0532-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,05B,BGD,Bangladesh,Southern Asia,Asia,"Satkhira, Khulna, Bagerhat, Pirojpur, Borguna districts",,,No,No,No,150.0,Kph,,1999,10.0,25.0,1999,10.0,25.0,,,,,,,,54.6682208422885,,2003-07-01,2023-09-25
1999-0576-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Bhola, Barisal & Patuakhil districts, Level 1 = Barisal Div",,,No,No,No,106.0,Kph,,1999,4.0,10.0,1999,4.0,10.0,66.0,100.0,,,100.0,,,54.6682208422885,,2003-07-01,2023-09-25
1999-0730-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,,Monsoonal rain,,No,No,No,,Km2,,1999,6.0,30.0,1999,7.0,20.0,82.0,,,,,,,54.6682208422885,,2006-07-05,2023-09-25
1999-0734-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,Jamuna,,,No,No,No,,Km2,,1999,7.0,28.0,1999,8.0,5.0,,,,4000.0,4000.0,,,54.6682208422885,,2006-07-05,2023-09-25
1999-0736-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Bhola, Barisal, Patuakhil",,Rain,No,No,No,,Km2,,1999,4.0,10.0,1999,4.0,11.0,66.0,100.0,,,100.0,,,54.6682208422885,,2006-07-05,2023-09-25
1999-0738-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Bengal Gulf,,,No,No,No,,Kph,,1999,7.0,1.0,1999,7.0,5.0,50.0,,,,,,,54.6682208422885,,2006-07-06,2023-09-25
2000-0003-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",,,No,No,No,6.4,°C,,2000,1.0,,2000,1.0,,49.0,,,,,,,56.5142905592776,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":577,""adm1_name"":""Dhaka""},{""adm1_code"":578,""adm1_name"":""Khulna""},{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm1_code"":61363,""adm1_name"":""Rangpur""}]",2003-07-01,2023-09-25
2000-0023-BGD,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009khm,,BGD,Bangladesh,Southern Asia,Asia,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,No,No,No,4.3,Moment Magnitude,,2000,1.0,2.0,2000,1.0,2.0,,,1000.0,,1000.0,,,56.5142905592776,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2011-04-07,2023-09-25
2000-0146-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Natore district (Rajshahi province),,,No,No,No,,Kph,,2000,3.0,5.0,2000,3.0,5.0,,50.0,,3000.0,3050.0,,,56.5142905592776,"[{""adm2_code"":5812,""adm2_name"":""Natore""}]",2005-04-24,2023-09-25
2000-0184-BGD,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute diarroheal syndrome,BGD,Bangladesh,Southern Asia,Asia,Barisal,,,No,No,No,,Vaccinated,,2000,3.0,,2000,3.0,,,,3352.0,,3352.0,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",,,No,No,No,120.0,Kph,,2000,4.0,21.0,2000,4.0,21.0,20.0,300.0,,62500.0,62800.0,,,56.5142905592776,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2005-04-24,2023-09-25
2000-0229-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",,,No,No,No,80.0,Kph,,2000,4.0,11.0,2000,4.0,11.0,,12.0,,7000.0,7012.0,,,56.5142905592776,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""}]",2003-07-01,2023-09-25
2000-0283-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",,Flood,No,No,No,70.0,Kph,"Sangu, Matamuhuri",2000,5.0,27.0,2000,6.0,19.0,36.0,,70000.0,1000.0,71000.0,,,56.5142905592776,"[{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5771,""adm2_name"":""Comilla""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5794,""adm2_name"":""Tangail""}]",2004-10-25,2023-09-25
2000-0294-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Chittagong province,,,No,No,No,,Kph,,2000,5.0,23.0,2000,5.0,23.0,28.0,,,,,,,56.5142905592776,"[{""adm1_code"":576,""adm1_name"":""Chittagong""}]",2003-07-01,2023-09-25
2000-0373-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Bakalia, Kotwali, Chandgaon, Pahartali, Hathazari, Halishahar, Patiya, Satkania areas (Chittagong district, Chittagong province), Cox's Bazar district (Chittagong province)",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,17000.0,Km2,"Bramputra, Darata",2000,6.0,24.0,2000,6.0,24.0,11.0,50.0,200000.0,,200050.0,,,56.5142905592776,"[{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2004-10-25,2023-09-25
2000-0467-BGD,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue,BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Chittagong, Rajshahi",,,No,No,No,,Vaccinated,,2000,7.0,,2000,7.0,,21.0,,522.0,,522.0,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0555-BGD,No,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,BGD,Bangladesh,Southern Asia,Asia,"Hutiya, Companiganj areas (Noakhali district, Chittagong province), Maheskhali area (Cox's Bazar district, Chittagong province), Sandwip area (Chittagong district, Chittagong province)",,,No,No,No,,Km2,,2000,8.0,30.0,2000,8.0,30.0,1.0,10.0,,12000.0,12010.0,,,56.5142905592776,"[{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5776,""adm2_name"":""Noakhali""}]",2003-07-01,2023-09-25
2000-0617-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Gangni, Meherpur Sadar areas (Meherpur district, Khulna province), Daulatpur, Kushtia Sadar, Bheramara areas (Kushtia district, Khulna province), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda areas (Chuadanga district, Khulna province), Maheshpur, Kotchandpur areas (Jhenaidah district, Khulna province), Paba, Godagari, Tanor, Mohanpur areas (Rajshahi district, Rajshahi province)",,,No,No,No,162.0,Km2,,2000,9.0,,2000,10.0,,31.0,,2467138.0,,2467138.0,500000.0,884732.0,56.5142905592776,"[{""adm2_code"":5796,""adm2_name"":""Chuadanga""},{""adm2_code"":5798,""adm2_name"":""Jhenaidah""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5802,""adm2_name"":""Meherpur""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2005-07-19,2023-09-25
2000-0631-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)",,,No,No,No,,Kph,,2000,6.0,25.0,2000,6.0,25.0,,37.0,2500.0,,2537.0,,,56.5142905592776,"[{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""}]",2003-07-01,2023-09-25
2000-0665-BGD,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Southwestern districts,,,No,No,No,,Vaccinated,,2000,10.0,,2000,10.0,,10.0,,22340.0,,22340.0,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0713-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",,,No,No,No,100.0,Kph,,2000,10.0,28.0,2000,10.0,28.0,15.0,200.0,,,200.0,,,56.5142905592776,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5764,""adm2_name"":""Jhalokati""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5775,""adm2_name"":""Lakshmipur""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5799,""adm2_name"":""Khulna""}]",2003-07-01,2023-09-25
2001-0198-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",,,No,No,No,100.0,Kph,,2001,5.0,11.0,2001,5.0,11.0,12.0,200.0,,,200.0,,,58.1114743743821,"[{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5781,""adm2_name"":""Gopalganj""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5796,""adm2_name"":""Chuadanga""},{""adm2_code"":5798,""adm2_name"":""Jhenaidah""},{""adm2_code"":5802,""adm2_name"":""Meherpur""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5811,""adm2_name"":""Naogaon""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""}]",2003-07-01,2023-09-25
2001-0202-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",,,No,No,No,,Kph,,2001,4.0,1.0,2001,4.0,1.0,193.0,2000.0,500.0,,2500.0,,,58.1114743743821,"[{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2003-07-01,2023-09-25
2001-0273-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Sirajganj, Pabna districts (Rajshahi province), Sylhet district (Sylhet province)",,,No,No,No,80.0,Kph,,2001,4.0,28.0,2001,4.0,28.0,21.0,100.0,500.0,,600.0,,,58.1114743743821,"[{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5815,""adm2_name"":""Pabna""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""}]",2003-07-01,2023-09-25
2001-0393-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Nilphamari district (Rangpur province), Brahamanbaria district (Chittagong province), Sylhet province",,,No,No,No,,Km2,,2001,6.0,5.0,2001,6.0,5.0,9.0,,500000.0,,500000.0,,,58.1114743743821,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2003-07-01,2023-09-25
2001-0459-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Sunamganj, Sylhet districts (Sylhet province), Nawabganj, Rajshahi districts (Rajshahi province), Kushtia district (Khulna province)",,,No,No,No,,Km2,,2001,8.0,31.0,2001,8.0,31.0,,,200000.0,,200000.0,,,58.1114743743821,"[{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2003-07-01,2023-09-25
2001-0563-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)",,,No,No,No,150.0,Kph,,2001,10.0,5.0,2001,10.0,5.0,12.0,450.0,25000.0,,25450.0,,,58.1114743743821,"[{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2003-07-01,2023-09-25
2001-0734-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province)",,,No,No,No,7.0,°C,,2001,12.0,,2001,12.0,,6.0,2000.0,,,2000.0,,,58.1114743743821,"[{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5804,""adm2_name"":""Satkhira""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5806,""adm2_name"":""Dinajpur""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""},{""adm2_code"":5820,""adm2_name"":""Thakurgaon""}]",2003-07-01,2023-09-25
2002-0211-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Cox's Bazar district (Chittagong province),,,No,No,No,90.0,Kph,,2002,3.0,25.0,2002,3.0,25.0,32.0,,,1000.0,1000.0,,,59.0331440786142,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2003-07-01,2023-09-25
2002-0233-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",,,No,No,No,,Kph,,2002,4.0,22.0,2002,4.0,22.0,31.0,400.0,100000.0,,100400.0,,,59.0331440786142,"[{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2005-04-19,2023-09-25
2002-0383-BGD,No,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,BGD,Bangladesh,Southern Asia,Asia,"Bandarban, Rangamati, Khagrachari hill districts",,,No,No,No,,Vaccinated,,2002,6.0,,2002,6.0,,96.0,,49904.0,,49904.0,,,59.0331440786142,,2003-07-01,2023-09-25
2002-0402-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Mymensingh, Netrakona, Sherpur districts (Dhaka province), Sunamganj district (Sylhet province), Rangpur, Nilphamari, Kurigram, Gaibandha districts (Rangpur province), Noakhali, Lakshmipur, Cox's Bazar districts (Chittagong province), Jessore, Satkhira districts (Khulna province), Barguna, Bhola, Barisal, Patuakhali districts (Barisal province), Rajshahi province",,,No,No,No,1000.0,Km2,,2002,7.0,,2002,8.0,,10.0,,1500000.0,,1500000.0,,,59.0331440786142,"[{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5775,""adm2_name"":""Lakshmipur""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5804,""adm2_name"":""Satkhira""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2005-12-02,2023-09-25
2002-0425-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Rajshahi district (Rajshahi province),,,No,No,No,,Kph,,2002,7.0,14.0,2002,7.0,14.0,10.0,,,,,,,59.0331440786142,"[{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2003-07-01,2023-09-25
2002-0705-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Barguna district (Barisal province),,,No,No,No,85.0,Kph,,2002,11.0,14.0,2002,11.0,14.0,49.0,,,,,,,59.0331440786142,"[{""adm2_code"":5761,""adm2_name"":""Barguna""}]",2003-07-01,2023-09-25
2002-0819-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshahi, Rangpur provinces",,,No,No,No,3.0,°C,,2002,12.0,15.0,2003,1.0,,700.0,,50000.0,,50000.0,,,59.0331440786142,"[{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm1_code"":61363,""adm1_name"":""Rangpur""}]",2006-09-17,2023-09-25
2003-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Noabadi, Nayabadi, Merashani villages (Brahamanbaria district, Chittagong)",,"Hail|Slide (land, mud, snow, rock)",No,No,No,120.0,Kph,,2003,5.0,4.0,2003,5.0,4.0,23.0,400.0,,,400.0,,,60.3732510662594,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""}]",2004-03-09,2023-09-25
2003-0250-BGD,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Khulna, Rajshahi provinces",,,No,No,No,40.0,°C,,2003,5.0,10.0,2003,6.0,12.0,62.0,,,,,,,60.3732510662594,"[{""adm1_code"":577,""adm1_name"":""Dhaka""},{""adm1_code"":578,""adm1_name"":""Khulna""},{""adm1_code"":61362,""adm1_name"":""Rajshahi""}]",2005-12-02,2023-09-25
2003-0283-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Maulvibazar, Habiganj, Sylhet districts (Sylhet province), Lalmonirhat, Kurigram, Rangpur, Nilphamari, Gaibandha districts (Rangpur province), Comilla, Feni districts (Chittagong province), Sirajganj, Bogra, Pabna, Rajshahi, Nawabganj districts (Rajshahi province), Jamalpur, Tangail, Manikganj, Munshiganj, Narsingdi, Narayanganj, Kishoreganj, Rajbari, Madaripur, Chandpur, Faridpur, Dhaka districts (Dhaka province)",Monsoon rain,,No,No,No,,Km2,,2003,6.0,11.0,2003,10.0,10.0,187.0,,50000.0,,50000.0,,,60.3732510662594,"[{""adm2_code"":5771,""adm2_name"":""Comilla""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5788,""adm2_name"":""Narayanganj""},{""adm2_code"":5789,""adm2_name"":""Narsingdi""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5821,""adm2_name"":""Habiganj""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5815,""adm2_name"":""Pabna""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2004-02-18,2023-09-25
